benchmark,category,n,acc_frozen,acc_lora_only,acc_reinspection,delta_lora_only,delta_reinspection
3dsrbench,height_higher,690,0.5826086956521739,0.5753623188405798,0.563768115942029,-0.007246376811594124,-0.018840579710144856
3dsrbench,location_above,692,0.6488439306358381,0.565028901734104,0.6127167630057804,-0.08381502890173409,-0.036127167630057744
3dsrbench,location_closer_to_camera,678,0.831858407079646,0.8392330383480826,0.8215339233038348,0.007374631268436627,-0.010324483775811188
3dsrbench,location_next_to,339,0.551622418879056,0.5014749262536873,0.5693215339233039,-0.05014749262536877,0.017699115044247815
3dsrbench,multi_object_closer_to,350,0.6,0.5657142857142857,0.5428571428571428,-0.03428571428571425,-0.05714285714285716
3dsrbench,multi_object_facing,346,0.661849710982659,0.630057803468208,0.5375722543352601,-0.031791907514450934,-0.12427745664739887
3dsrbench,multi_object_parallel,339,0.6047197640117994,0.5693215339233039,0.584070796460177,-0.03539823008849552,-0.020648967551622377
3dsrbench,multi_object_same_direction,344,0.5290697674418605,0.5232558139534884,0.5232558139534884,-0.005813953488372103,-0.005813953488372103
3dsrbench,multi_object_viewpoint_towards_object,343,0.27696793002915454,0.2653061224489796,0.2565597667638484,-0.011661807580174932,-0.020408163265306145
3dsrbench,orientation_in_front_of,344,0.622093023255814,0.6104651162790697,0.5755813953488372,-0.011627906976744207,-0.046511627906976716
3dsrbench,orientation_on_the_left,349,0.501432664756447,0.501432664756447,0.498567335243553,0.0,-0.002865329512893977
3dsrbench,orientation_viewpoint,343,0.4314868804664723,0.40524781341107874,0.3965014577259475,-0.026239067055393583,-0.034985422740524796
blink,Counting,120,0.75,0.7083333333333334,0.6916666666666667,-0.04166666666666663,-0.05833333333333335
blink,Multi-view_Reasoning,133,0.5338345864661654,0.5263157894736842,0.5037593984962406,-0.007518796992481258,-0.03007518796992481
blink,Object_Localization,122,0.5491803278688525,0.5573770491803278,0.5737704918032787,0.008196721311475308,0.024590163934426146
blink,Relative_Depth,124,0.782258064516129,0.7741935483870968,0.782258064516129,-0.008064516129032251,0.0
blink,Spatial_Relation,143,0.8811188811188811,0.9090909090909091,0.8881118881118881,0.027972027972027913,0.006993006993006978
cv_bench,2D/Count,788,0.5901015228426396,0.7246192893401016,0.7360406091370558,0.13451776649746194,0.1459390862944162
cv_bench,2D/Relation,650,0.1523076923076923,0.44769230769230767,0.8738461538461538,0.29538461538461536,0.7215384615384615
cv_bench,3D/Depth,600,0.7483333333333333,0.835,0.7583333333333333,0.08666666666666667,0.010000000000000009
cv_bench,3D/Distance,600,0.0,0.5666666666666667,0.655,0.5666666666666667,0.655
vstar_bench,direct_attributes,115,0.6869565217391305,0.7217391304347827,0.7304347826086957,0.034782608695652195,0.04347826086956519
vstar_bench,relative_position,76,0.7105263157894737,0.75,0.7368421052631579,0.03947368421052633,0.02631578947368418
